Topic,Count,Name,Representation,Representative_Docs
-1,3184,-1_orbán_magyar_péter_viktor,"['orbán', 'magyar', 'péter', 'viktor', 'orbán viktor', 'fidesz', 'magyar péter', 'tisza', 'trump', 'iráni']","['magyar péter: ha valódi veszélyről lenne szó, orbán viktor felelős miniszterelnökként már rég meghívott volna engem magyar péter friss bejegyzésében felszólította orbán viktort – akire leköszönő miniszterelnökként hivatkozott – hogy haladéktalanul hagyjon fel a riogatással és a pánikkeltéssel. a tisza párt elnöke arra utalt, hogy szerdán orbán bejelentette , hogy katonákat és „támadások elhárításához szükséges es', 'csütörtöki friss hírek, forgalom, időjárás – reggeli pakk 2026. március 5., csütörtök friss hírek orbán viktor szerint jobban áll a mozgósításban a tisza párt. orbán viktor magyar tényfeltáró küldöttséggel vizsgáltatná meg a barátság kőolajvezeték állapotát. navracsics tibor túl erősnek találja a fidesz háborús félelmeket gerjesztő videóit, ugyanakkor agga', 'bulvárba vitte a fideszt, most már orbán viktor kampányának egyik éceszgébere orbán viktor egy vitorlás fedélzetén feszített horvátországban, mellette pedig sajtókommunikációs tanácsadója, kaminski fanny. a fotót tavaly nyáron magyar péter osztotta meg a közösségi oldalán. a tisza párt elnöke azt írta, a miniszterelnök politikai igazgatója, orbán balázs is a kormányfővel nyar']"
0,1198,0_irán_iráni_trump_izraeli,"['irán', 'iráni', 'trump', 'izraeli', 'izrael', 'amerikai', 'ali', 'donald', 'donald trump', 'hadsereg']","['az usa és izrael megtámadta iránt, állítólag megölték ali hameneit, irán legfelsőbb vezetőjét donald trump amerikai elnök az nbc televíziónak úgy nyilatkozott: valóban igaz lehet, hogy megölték ali hamenei ajatollahot, irán legfőbb vallási és politikai vezetőjét a szombat reggel indított amerikai-izraeli légicsapásokban. az az érzésünk, hogy valóban ez történt – mondta trump arra a kérdésre,', 'az usa és izrael megtámadta iránt, állítólag megölték ali hameneit, irán legfelsőbb vezetőjét donald trump amerikai elnök az nbc televíziónak úgy nyilatkozott: valóban igaz lehet, hogy megölték ali hamenei ajatollahot, irán legfőbb vallási és politikai vezetőjét a szombat reggel indított amerikai-izraeli légicsapásokban. az az érzésünk, hogy valóban ez történt – mondta trump arra a kérdésre,', 'az usa és izrael megtámadta iránt, állítólag megölték ali hameneit, irán legfelsőbb vezetőjét donald trump amerikai elnök az nbc televíziónak úgy nyilatkozott: valóban igaz lehet, hogy megölték ali hamenei ajatollahot, irán legfőbb vallási és politikai vezetőjét a szombat reggel indított amerikai-izraeli légicsapásokban. az az érzésünk, hogy valóban ez történt – mondta trump arra a kérdésre,']"
1,538,1_magyar_magyar péter_ukrán_orbán,"['magyar', 'magyar péter', 'ukrán', 'orbán', 'péter', 'viktor', 'orbán viktor', 'török gábor', 'miniszterelnök', 'török']","['orbán: ukrajna haldoklik, miközben fenyegetőzik és durváskodik – lázár jános az ukránoknak: z1g megpróbálok barátokat szerezni kínától az egyesült államokig, és érdekeltté tenni őket magyarország sikerében, és megakadályozni, hogy bárki ellenérdekelt legyen magyarország sikerében – foglalta össze a miniszterelnök a nemzetközi tevékenységét. utolsó kérdés: mikor kap az mcc debrecenben egy méltó', 'orbán: ukrajna haldoklik, miközben fenyegetőzik és durváskodik – lázár jános az ukránoknak: z1g megpróbálok barátokat szerezni kínától az egyesült államokig, és érdekeltté tenni őket magyarország sikerében, és megakadályozni, hogy bárki ellenérdekelt legyen magyarország sikerében – foglalta össze a miniszterelnök a nemzetközi tevékenységét. utolsó kérdés: mikor kap az mcc debrecenben egy méltó', 'orbán: ukrajna haldoklik, miközben fenyegetőzik és durváskodik – lázár jános az ukránoknak: z1g megpróbálok barátokat szerezni kínától az egyesült államokig, és érdekeltté tenni őket magyarország sikerében, és megakadályozni, hogy bárki ellenérdekelt legyen magyarország sikerében – foglalta össze a miniszterelnök a nemzetközi tevékenységét. utolsó kérdés: mikor kap az mcc debrecenben egy méltó']"
2,374,2_orosz_putyin_alkotmányvédelmi_szijjártó,"['orosz', 'putyin', 'alkotmányvédelmi', 'szijjártó', 'vlagyimir', 'panyi', 'vlagyimir putyin', 'titkosszolgálati', 'direkt36', 'péter']","['rogán szerint szabó bence és gundalf nyilatkozatai csak figyelemelterelést szolgálnak rogán antal először szólalt meg nyilvánosan, mióta szabó bence, a nemzeti nyomozó iroda kiberbűnözés elleni főosztályának nyomozója arccal-névvel mondta el a direkt36-nak , hogyan zajlott a titkosszolgálati nyomásra indult házkutatás a tisza pártot segítő informatikusok ellen . később a gundalft nev', 'panyi szabolcs szerint már budapesten vannak a kreml választási befolyásolásra küldött emberei panyi szabolcs oknyomozó újságíró csütörtök este a vsquare hírlevelében írt arról , hogy vlagyimir putyin orosz elnök politikai machinátorokból álló csapatot küld magyarországra, hogy avatkozzanak be a választási kampányba, és segítsék orbán viktor győzelmét. időközben panyi megtudta , hogy ezek az', 'szijjártó péter szerdán a kremlben tárgyal putyinnal az olajellátás helyzetéről szijjártó péter külügyminiszter szerdán moszkvába utazik, ahol vlagyimir putyin orosz elnökkel fog tárgyalni – írja a ria novosztyi hírügynökség alapján a hvg.hu . dmitrij peszkov, a kreml szóvivője az orosz hírügynökségnek azt mondta, az orosz elnök és a magyar külügyminiszter az olajellátás helyze']"
3,148,3_férfi_férfit_főügyészség_késsel,"['férfi', 'férfit', 'főügyészség', 'késsel', 'törvényszék', 'vármegyei', 'ítélte', 'nő', 'emberölés', 'tájékoztatása']","['megúszta a börtönt a férfi, aki hasba szúrta kollégáját az építkezésen két év felfüggesztett börtönre ítélte a szegedi törvényszék azt a külföldi férfit, aki február végén övvel és késsel támadt egy szintén külföldi munkatársára szegeden. a csongrád-csanád vármegyei főügyészség közleménye szerint az építkezésen dolgozó férfi egy munkahelyi konfliktus miatt támadt a mun', 'feltépte a kocsi ajtaját, majd késsel támadt benne ülő nőkre egy férfi nyíregyházán féltékenységből támadt rá késsel élettársára és annak nőismerősére egy 38 éves férfi vasárnap nyíregyházán. a szabolcs-szatmár-bereg vármegyei rendőr-főkapitányság tájékoztatása szerint a rendőrök fékezték meg és fogták el az agresszív támadót. a felindult állapotban lévő férfi a társasházi lakásáná', 'agyonvertek egy férfit hejőcsabán agyonvertek egy férfit miskolc-hejőcsaba városrészben. a miskolci járásbíróság elrendelte az emberölés bűntettével gyanúsított férfi letartóztatását. a miskolci törvényszék tájékoztatása szerint a terhelt április 3-án éjszaka egy társasházi lakásban testszerte ütlegelve bántalmazta a másik férfit. a']"
4,135,4_nemzeti választási_választási iroda_nvi_választási,"['nemzeti választási', 'választási iroda', 'nvi', 'választási', 'iroda', 'nemzeti', 'egyéni', 'országgyűlési', 'április 12', 'április']","['beérkezett az első ezer levélszavazat a nemzeti választási irodához pénteken megérkeztek az első levélszavazatok a nemzeti választási irodához (az nvi-hez). a magyarországi lakcímmel nem rendelkező választópolgárok már több mint ezer levélszavazatot visszajuttattak az április 12-i országgyűlési választásra – derült ki az nvi friss adatközléséből . a magyarországi la', 'már több mint 151 ezer levélszavazat érkezett a nemzeti választási irodához már több mint 151 ezer levélszavazatot leadtak az országgyűlési választásra, ebből, az eddig ellenőrzöttek közül, több mint 28 ezerben volt érvényes az azonosító nyilatkozat - derül ki a nemzeti választási iroda (nvi) adataiból. a levélszavazatokból 8838-at közvetlenül az nvi-hez juttattak vissza, 1', 'már több mint 151 ezer levélszavazat érkezett be a nemzeti választási irodához már több mint 151 ezer levélszavazatot leadtak az országgyűlési választásra, ebből, az eddig ellenőrzöttek közül, több mint 28 ezerben volt érvényes az azonosító nyilatkozat – közölte az mti a nemzeti választási iroda (nvi) keddi adatai alapján. ezekből kiderül, hogy eddig összesen 151\u202f485 levélszav']"
5,129,5_444_zászlóval_percről_percről percre,"['444', 'zászlóval', 'percről', 'percről percre', 'videófelvétel', 'olvasója', 'szöveges', 'gyel', 'meneten', 'percre']","['magyar péter szerint félmillióan voltak a nemzeti meneten, a kormány turisztikai ügynöksége a békemenetet hozta ki győztesnek – percről percre március 15-e miközben a teljes kormánypárti média és több fideszes politikus azt állította egy fotó alapján, hogy a tiszás menet ukrán zászlóval vonult a hősök terére, a 444 egyik olvasója szerint provokációról volt szó. a szöveges beszámoló és egy, a 444-gyel megosztott videófelvétel szerint a deák téren – a ne', 'magyar péter szerint félmillióan voltak a nemzeti meneten, a kormány turisztikai ügynöksége a békemenetet hozta ki győztesnek – percről percre március 15-e miközben a teljes kormánypárti média és több fideszes politikus azt állította egy fotó alapján, hogy a tiszás menet ukrán zászlóval vonult a hősök terére, a 444 egyik olvasója szerint provokációról volt szó. a szöveges beszámoló és egy, a 444-gyel megosztott videófelvétel szerint a deák téren – a ne', 'magyar péter szerint félmillióan voltak a nemzeti meneten, a kormány turisztikai ügynöksége a békemenetet hozta ki győztesnek – percről percre március 15-e miközben a teljes kormánypárti média és több fideszes politikus azt állította egy fotó alapján, hogy a tiszás menet ukrán zászlóval vonult a hősök terére, a 444 egyik olvasója szerint provokációról volt szó. a szöveges beszámoló és egy, a 444-gyel megosztott videófelvétel szerint a deák téren – a ne']"
6,123,6_baleset_autó_m1_autópálya,"['baleset', 'autó', 'm1', 'autópálya', 'ütközött', 'es', 'halálos', 'ember', 'történt', 'váci']","['kamionnal ütközött egy autó, lezárták az m1-est győr felé, bicskénél baleset miatt lezárták az m1-es autópálya győr felé vezető oldalát szombat reggel bicske térségében – közölte a katasztrófavédelem. az útinform szerint a terelésben egy személygépjármű és egy kamion összeütközött. a 38-as kilométernél a külső sávot lezárták. a baleset mögötti torlódásban egy kisbusz', 'halálos baleset a váci úton, öt autó ütközött, az egyik lezuhant a felüljáróról péntek éjszaka, nem sokkal 11 óra után súlyos baleset történt a főváros xiii. kerületében, a váci út és a róbert károly körút kereszteződésében. a katasztrófavédelem tájékoztatása szerint összesen öt autó ütközött össze, és „a baleset következtében egy autó lesodródott a hídról” (a váci útnak a körú', 'karambol után lezuhant a felüljáróról egy autó a xiii. kerületben – ketten meghaltak ketten meghaltak, miután öt autó ütközött budapesten, a váci út és a róbert károly körút kereszteződésében péntek késő este. a baleset részleteiről azóta lapunk is beszámolt . a baleset a göncz árpád városközpontnál álló felüljárón történt, amelyről az egyik jármű lezuhant. a helyszínen egy ember él']"
7,112,7_védett_üzemanyag_ár_kormány,"['védett', 'üzemanyag', 'ár', 'kormány', 'benzin', '595', 'bkv', '615', 'dízel', 'áron']","['üzemanyagár: szakértők szerint a kormány nem tud csodát tenni sem árstoppal, sem adócsökkentéssel frissítünk! orbán viktor hétfő délután bejelentette , a kormány védett árat vezet be az üzemanyagokra. ennek értelmében éjféltől a benzin literenként 595 forint, a gázolaj 615 forint lesz. a védett ár csak a magyar rendszámú és magyar forgalmival rendelkező járművekre vonatkozik. megint ott tartunk,', 'a kormány döntött: nem lesz mindenhol védett ár egy nap után a kormány pontosította az üzemanyagár-korlátozás (védett ár) végrehajtásának szabályait. a magyar közlönyben megjelent rendelet szerint szerdától a védett árra (a benzin literenként 595, a dízel 615 forintért értékesíthető) vonatkozó hétfői rendelet nem érvényes „a kizárólag automata kú', 'védett árat vezet be a kormány az üzemanyagra a benzin és a gázolaj esetében is védett árat vezet be a kormány – jelentette be orbán viktor hétfőn. ez azt jelenti, hogy a kiskereskedelemben efölé nem mehetnek az árak. a benzin esetében 595 forint, a gázolaj esetében 615 forint lesz a védett ár literenként. a védett ár csak a magyar rendszámú és']"
8,110,8_barátság_kőolajvezeték_barátság kőolajvezeték_zelenszkij,"['barátság', 'kőolajvezeték', 'barátság kőolajvezeték', 'zelenszkij', 'vezeték', 'kőolajvezetéket', 'európai', 'barátság vezeték', 'barátság kőolajvezetéket', 'volodimir zelenszkij']","['zelenszkij: még tavasszal befejeződik a barátság kőolajvezeték javítása ukrajna várhatóan még tavasszal befejezi a barátság kőolajvezeték (druzsba) javítását – mondta volodimir zelenszkij még csütörtökön a kyiv independent beszámolója szerint. az ukrán elnök ugyanakkor hozzátette: magáért a szállításért már az európaiak viselik majd a felelősséget. a kormánypárti mandin', 'április végén újraindulhat a szállítás a barátság kőolajvezetéken, az európai unió is beszáll a helyreállításába az európai unió technikai támogatást és pénzügyi segítséget ajánlott fel ukrajnának a barátság kőolajvezeték helyreállítására, amit ukrajna elfogadott – áll az európai bizottság közleményében . az európai bizottságnak és az európai tanácsnak címzett levelében volodimir zelenszkij ukrán elnök azt írt', 'a barátság kőolajvezeték kérdése továbbra is napirenden az európai unió technikai támogatást és pénzügyi segítséget ajánlott fel ukrajnának a barátság kőolajvezeték helyreállítására, amit ukrajna elfogadott. volodimir zelenszkij szerint folyamatosan dolgoznak a vezeték és az azt körülvevő infrastruktúra helyreállításán, hogy teljesíthessék az unió felé v']"
