Topic,Count,Name,Representation,Representative_Docs
-1,985,-1_orbán_irán_viktor_orbán viktor,"['orbán', 'irán', 'viktor', 'orbán viktor', 'trump', 'iráni', 'háború', 'egyesült', 'amerikai', 'magyar']","['hivatalosan is modzstaba hamenei irán új legfelsőbb vezetője, trump nem zárja ki, hogy katonákat küldjön az országba a közel-keleti háborúról szóló szombati közvetítésünket itt olvashatják el .\n\nmodzstaba hamenei irán új legfelsőbb vezetője – jelentette be a szakértők tanácsa az iráni állami médiában. a dinasztikus sahi rendszert megdöntő, 1979-es iszlám forradalom óta az első eset, hogy irán legfőbb vezetői poszt', 'hivatalosan is modzstaba hamenei irán új legfelsőbb vezetője, trump nem zárja ki, hogy katonákat küldjön az országba a közel-keleti háborúról szóló szombati közvetítésünket itt olvashatják el .\n\nmodzstaba hamenei irán új legfelsőbb vezetője – jelentette be a szakértők tanácsa az iráni állami médiában. a dinasztikus sahi rendszert megdöntő, 1979-es iszlám forradalom óta az első eset, hogy irán legfőbb vezetői poszt', 'hivatalosan is modzstaba hamenei irán új legfelsőbb vezetője, trump nem zárja ki, hogy katonákat küldjön az országba a közel-keleti háborúról szóló szombati közvetítésünket itt olvashatják el .\n\nmodzstaba hamenei irán új legfelsőbb vezetője – jelentette be a szakértők tanácsa az iráni állami médiában. a dinasztikus sahi rendszert megdöntő, 1979-es iszlám forradalom óta az első eset, hogy irán legfőbb vezetői poszt']"
0,808,0_magyar_orbán_választási_fidesz,"['magyar', 'orbán', 'választási', 'fidesz', 'párt', 'magyar péter', 'dk', 'péter', 'tisza', 'választáson']","['magyar péter debrecenben: a tisza párt elleni hamis zászlós műveletre készülhet a fidesz a választáson a tisza vezetője debrecenben, a fidesz fellegvárában tartotta kampányzáró beszédét. a beszéd legfontosabb pontjai: számos konkrét információt hallottak arról, hogy a fidesz milyen választási csalásokkal és hamis zászlós műveletekkel készül holnapra. az egyik konkrét: szerinte simon miklós (akinek 18', 'magyar péter debrecenben: a tisza párt elleni hamis zászlós műveletre készülhet a fidesz a választáson a tisza vezetője debrecenben, a fidesz fellegvárában tartotta kampányzáró beszédét. a beszéd legfontosabb pontjai: számos konkrét információt hallottak arról, hogy a fidesz milyen választási csalásokkal és hamis zászlós műveletekkel készül holnapra. az egyik konkrét: szerinte simon miklós (akinek 18', 'magyar péter debrecenben: a tisza párt elleni hamis zászlós műveletre készülhet a fidesz a választáson a tisza vezetője debrecenben, a fidesz fellegvárában tartotta kampányzáró beszédét. a beszéd legfontosabb pontjai: számos konkrét információt hallottak arról, hogy a fidesz milyen választási csalásokkal és hamis zászlós műveletekkel készül holnapra. az egyik konkrét: szerinte simon miklós (akinek 18']"
1,627,1_izraeli_izrael_iráni_irán,"['izraeli', 'izrael', 'iráni', 'irán', 'libanoni', 'hadsereg', 'izraeli hadsereg', 'védelmi', 'egyesült', 'erők']","['irán újra ballisztikus rakétákat indított izrael felé az izraeli hadsereg közlése szerint újabb ballisztikus rakétát indítottak iránból izrael felé. a hadsereg azt közölte, hogy a következő percekben légvédelmi szirénák szólalhatnak meg az ország déli részén, az eilat térségében. az első katonai értékelések szerint a rakétát nagy valószínűséggel elfogt', 'az izraeli hadsereg szerint csapást mértek az iráni hadsereg biztonsági főparancsnokságára az izraeli védelmi erők (idf) közlése szerint csapást mért az iráni forradalmi gárda fő biztonsági parancsnokságára, a teherán ellen indított hétfői támadás során. az izraeli hadsereg szerint a parancsnokságot a forradalmi gárda az „egységek tevékenységének összehangolására és a helyzetértékelés elv', 'az izraeli védelmi erők megsemmisítettek egy iráni állami médiaközpontot az izraeli védelmi erők (idf) azt közölte, hogy lerombolta irán állami műsorszolgáltatója, az irib teheráni központját. az izraeli légierő vadászgépei nemrég több tucat bombát dobtak az épületre, és megsemmisítették azt, közölte a hadsereg. a hadsereg szerint ez volt az „iráni terrorista rezsim komm']"
2,273,2_bence_szabó_szabó bence_nyomozó,"['bence', 'szabó', 'szabó bence', 'nyomozó', 'alkotmányvédelmi', 'direkt36', 'tisza', 'gulyás', 'titkosszolgálati', 'alkotmányvédelmi hivatal']","['rogán szerint szabó bence és gundalf nyilatkozatai csak figyelemelterelést szolgálnak rogán antal először szólalt meg nyilvánosan, mióta szabó bence, a nemzeti nyomozó iroda kiberbűnözés elleni főosztályának nyomozója arccal-névvel mondta el a direkt36-nak , hogyan zajlott a titkosszolgálati nyomásra indult házkutatás a tisza pártot segítő informatikusok ellen . később a gundalft nev', 'szabó bence nyomozta ki hajdú péter adócsalási ügyét újabb interjút adott szabó bence volt százados, ezúttal a telexnek reagált élőben az elmúlt hét fejleményeire. szabó bence, a nemzeti nyomozó iroda kiberbűnözés elleni főosztályának addigi kiemelt nyomozója, századosa egy hete hosszú videóban beszélt a direkt36-nak arról, hogyan avatkozott bele az a', 'szabó bence, gundalf és az alkotmányvédelmi hivatal kihallgatása szombat délelőtt a magyar kormány facebook-oldalán megjelent egy videó , amin az alkotmányvédelmi hivatal a tisza pártnak korábban dolgozó 19 éves informatikust, hrabóczki dánielt, azaz gundalfot hallgatja ki abban az ügyben, amelyről szabó bence, a nemzeti nyomozó iroda (nni) korábbi nyomozója rész']"
3,257,3_orosz_putyin_szijjártó_vlagyimir,"['orosz', 'putyin', 'szijjártó', 'vlagyimir', 'szijjártó péter', 'vlagyimir putyin', 'magyar', 'oroszország', 'péter', 'kreml']","['szijjártó péter szerint putyin nem kért semmit cserébe a két hadifogoly elengedéséért csütörtökön kora hajnalban megérkezett moszkvából budapestre az a két ukrán és magyar állampolgársággal is rendelkező hadifogoly, akiket szerdán bocsátottak szabadon. szijjártó péter külügyminiszter a liszt ferenc repülőtéren azt nyilatkozta, hogy vlagyimir putyin orosz elnök a hadifoglyokért nem ké', 'szijjártó péter hazahozhat a gépén két hadifoglyot moszkvából, akiknek magyar állampolgárságuk is van a várakozásoknak megfelelően két hadifogoly érkezhet magyarországra az orosz fővárosból szijjártó péter külügyminiszter gépén, akiknek az ukrán mellett magyar állampolgárságuk is van. ez abból az ötperces videóból derült ki, amelyet szijjártó és vlagyimir putyin orosz elnök moszkvai tárgyalásairól h', 'szijjártó péter szerdán a kremlben tárgyal putyinnal az olajellátás helyzetéről szijjártó péter külügyminiszter szerdán moszkvába utazik, ahol vlagyimir putyin orosz elnökkel fog tárgyalni – írja a ria novosztyi hírügynökség alapján a hvg.hu . dmitrij peszkov, a kreml szóvivője az orosz hírügynökségnek azt mondta, az orosz elnök és a magyar külügyminiszter az olajellátás helyze']"
4,208,4_barátság_kőolajvezeték_barátság kőolajvezeték_európai,"['barátság', 'kőolajvezeték', 'barátság kőolajvezeték', 'európai', 'ukrajna', 'orosz', 'zelenszkij', 'orbán', 'vezeték', 'szlovák']","['április végén újraindulhat a szállítás a barátság kőolajvezetéken, az európai unió is beszáll a helyreállításába az európai unió technikai támogatást és pénzügyi segítséget ajánlott fel ukrajnának a barátság kőolajvezeték helyreállítására, amit ukrajna elfogadott – áll az európai bizottság közleményében . az európai bizottságnak és az európai tanácsnak címzett levelében volodimir zelenszkij ukrán elnök azt írt', 'a barátság kőolajvezeték kérdése továbbra is napirenden az európai unió technikai támogatást és pénzügyi segítséget ajánlott fel ukrajnának a barátság kőolajvezeték helyreállítására, amit ukrajna elfogadott. volodimir zelenszkij szerint folyamatosan dolgoznak a vezeték és az azt körülvevő infrastruktúra helyreállításán, hogy teljesíthessék az unió felé v', 'az eu vizsgálóbizottságot küldene ukrajnába, hogy ellenőrizzék a barátság kőolajvezeték állapotát az európai bizottság egy vizsgálóbizottság felállítását javasolta a január végi orosz támadásban megsérült, és azóta nem üzemelő barátság kőolajvezeték ügyében – írja a politico . a magyar kormány azt mondja, a vezeték már működőképes , azonban ukrajna zsarolja magyarországot , ezért nem indítja újr']"
5,120,5_megölték_ali_vezetőjét_valóban,"['megölték', 'ali', 'vezetőjét', 'valóban', 'ali hamenei', 'hamenei', 'légicsapásokban', 'ajatollahot', 'hamenei ajatollahot', 'hameneit']","['az usa és izrael megtámadta iránt, állítólag megölték ali hameneit, irán legfelsőbb vezetőjét donald trump amerikai elnök az nbc televíziónak úgy nyilatkozott: valóban igaz lehet, hogy megölték ali hamenei ajatollahot, irán legfőbb vallási és politikai vezetőjét a szombat reggel indított amerikai-izraeli légicsapásokban. az az érzésünk, hogy valóban ez történt – mondta trump arra a kérdésre,', 'az usa és izrael megtámadta iránt, állítólag megölték ali hameneit, irán legfelsőbb vezetőjét donald trump amerikai elnök az nbc televíziónak úgy nyilatkozott: valóban igaz lehet, hogy megölték ali hamenei ajatollahot, irán legfőbb vallási és politikai vezetőjét a szombat reggel indított amerikai-izraeli légicsapásokban. az az érzésünk, hogy valóban ez történt – mondta trump arra a kérdésre,', 'az usa és izrael megtámadta iránt, állítólag megölték ali hameneit, irán legfelsőbb vezetőjét donald trump amerikai elnök az nbc televíziónak úgy nyilatkozott: valóban igaz lehet, hogy megölték ali hamenei ajatollahot, irán legfőbb vallási és politikai vezetőjét a szombat reggel indított amerikai-izraeli légicsapásokban. az az érzésünk, hogy valóban ez történt – mondta trump arra a kérdésre,']"
6,115,6_védett_üzemanyag_kormány_ár,"['védett', 'üzemanyag', 'kormány', 'ár', 'benzin', 'áron', 'dízel', 'rendkívüli', 'magyar', 'liter']","['üzemanyagár: szakértők szerint a kormány nem tud csodát tenni sem árstoppal, sem adócsökkentéssel frissítünk! orbán viktor hétfő délután bejelentette , a kormány védett árat vezet be az üzemanyagokra. ennek értelmében éjféltől a benzin literenként 595 forint, a gázolaj 615 forint lesz. a védett ár csak a magyar rendszámú és magyar forgalmival rendelkező járművekre vonatkozik. megint ott tartunk,', 'a kormány döntött: nem lesz mindenhol védett ár egy nap után a kormány pontosította az üzemanyagár-korlátozás (védett ár) végrehajtásának szabályait. a magyar közlönyben megjelent rendelet szerint szerdától a védett árra (a benzin literenként 595, a dízel 615 forintért értékesíthető) vonatkozó hétfői rendelet nem érvényes „a kizárólag automata kú', 'védett árat vezet be a kormány az üzemanyagra a benzin és a gázolaj esetében is védett árat vezet be a kormány – jelentette be orbán viktor hétfőn. ez azt jelenti, hogy a kiskereskedelemben efölé nem mehetnek az árak. a benzin esetében 595 forint, a gázolaj esetében 615 forint lesz a védett ár literenként. a védett ár csak a magyar rendszámú és']"
7,110,7_milliárd_mnb_forint_bank,"['milliárd', 'mnb', 'forint', 'bank', 'magyar nemzeti', 'nemzeti bank', 'forintot', 'millió', 'hadházy', 'magyar']","['matolcsy harmincmilliós budijától a járulékos költségek 8 milliárd forintjáig – kipereltük az mnb-székház százmilliárdos felújításának dokumentációját a magyar nemzeti bank 2019-ben döntött a szabadság téri székházának átfogó korszerűsítéséről, akkor erre bruttó 55 milliárd forintot szántak, a beruházás csaknem a duplájába került. matolcsy „aranybudiján” kívül vannak bőven extrém tételek, mint például az aranyszínű szappantartók és hasonlók 14 mil', 'félmilliárd ment csak konyhatechnológiára – itt a részletes lista az mnb-székház felújítási költségeiről csütörtök reggel a 444 alapján megírtuk , hogy az eredetileg tervezettnek majdnem a duplájába, közel 105 milliárd forintba került a magyar nemzeti bank (mnb) szabadság téri székházának felújítása. a lap kiperelte az mnb-től a felújításról szóló szerződéseket, amelyekből kiderült: 2,1 milliárd forint', 'mészáros lőrinc bankja 15 milliárd forintot ad a bkk-nak összesen 45 milliárd forint átmeneti forgóeszköz-hitelt vesz fel márciusban a budapesti közlekedési központ (bkk) – írja a népszava . a hitel nagyobbik részét, 30 milliárd forintot, a k&h bank, a maradék 15 milliárd forintot pedig a mészáros lőrinchez köthető mbh bank biztosítja a fővárosi cégnek. a']"
8,92,8_medián_tisza_21_21 kutatóközpont,"['medián', 'tisza', '21', '21 kutatóközpont', 'körében', 'kutatóközpont', 'biztos', 'vezet', 'választani', 'intézet']","['21 kutatóközpont: erősödik a fidesz, de még mindig 53-39-re vezet a tisza a biztos szavazó pártválasztók között a választási részvételüket biztosra mondók körében csökkent a fidesz–kdnp hátránya, de még mindig jelentős a tisza párt előnye – derül ki a 21 kutatóközpont felmérése alapján, amely a 24.hu megbízásából készült. a becslés szerint a tisza a 199 parlamenti mandátum közül 115-öt szerezne meg egy most v', 'medián: nőtt a tisza párt előnye, valószínűleg kétpárti lesz a következő parlament a medián legfrissebb közvélemény-kutatása szerint tovább nőtt a tisza párt előnye. március második felében a teljes népesség körében 16, a pártot választani tudók körében 20, a választani tudó biztos szavazók között pedig már 23 százalékponttal vezet a tisza a fidesz–kdnp előtt. a március 17. és 20.', 'medián: 55-35-re vezet a tisza a biztos pártválasztók között, de a teljes népességben is nagy az előnye a tisza párt a teljes szavazókorú népességben 11 százalékponttal vezet a fidesz előtt, a választani tudó biztos szavazók körében pedig már a 20 százalékpontot is elérte az előnye, 55-35 az állás – írja a hvg a medián kutatása alapján. a pártot választani tudók körében 13 százalékpont a különbség. mí']"
