topic,count,keywords
0,2011,"ukrán, zelenszkij, magyar, európai, ukrajna, barátság, péter, orbán, magyar péter, magyarország"
1,551,"viktor, orbán viktor, orbán, miniszterelnök, tömeg, békemenet, országjárása, hatalmas, oldalán, közösségi"
2,296,"panyi, külföldi, szabolcs, tiszás, szijjártó, tisza, szijjártó péter, újságíró, titkosszolgálati, péter"
3,290,"védett, tisza, kapitány, párt, tisza párt, kapitány istván, istván, rezsicsökkentés, tiszás, magyar"
4,244,"orosz, ukrán, erők, drónok, oroszország, drón, ukrajna, támadás, independent, március"
5,152,"fidesz, választási, országgyűlési, nemzeti, egyéni, választás, iroda, 12, április, április 12"
6,120,"migrációs, spanyol, migráció, németországban, illegális, európai, európa, német, iráni, nyugat"
7,113,"trump, donald, donald trump, irán, amerikai, amerikai elnök, elnök, egyesült, iráni, államok"
8,105,"vance, amerikai, alelnök, amerikai alelnök, jd, jd vance, trump, vance amerikai, donald, orbán"
9,102,"hormuzi, irán, globális, szoros, iráni, olaj, hormuzi szoros, világ, háború, tengeri"
10,83,"tiszás, puzsér, fidesz, nyitókép, fiatalok, rendszerbontó, róbert, videó, tiszások, hann"
11,81,"izrael, irán, izraeli, iráni, egyesült, államok, indított, egyesült államok, teherán, katonai"
12,79,"áramlat, török, török áramlat, szerb, gázvezeték, találtak, közelében, magyarországot, áramlatot, északi"
13,78,"balázs, egyetem, magyar, alapítvány, felelős, oktatási, ferenc, miniszter, felelős miniszter, idei"
14,75,"radnai, magyar péter, radnai márk, márk, péter, magyar, kocsis, tisza, kocsis máté, máté"
15,71,"ukrajnában, férfit, férfi, felvétel, utcán, ukrán, ukrajnai, látható, videó, férfiakat"
16,53,"szijjártó, magyar, szabadon, állampolgárságú, orosz, szijjártó péter, kárpátaljai, kettős, férfi, péter"
17,52,"medián, deák, deák dániel, dániel, hann, intézet, hann endre, endre, valódi, elemzője"
18,51,"fideszes, férfi, aktivista, aktivistát, gulyás, fidesz, kerületi, agresszív, szentendrén, vi"
19,51,"amerikai, iráni, irán, nato, ballisztikus, törökország, lelőtt, rakétát, repülőgép, egyesült államok"
20,46,"facebook, választások, közösségi, hu, rendszert, elérését, aktiválta, tartalmak, megyei, magyar"
21,39,"robbanás, történt, zsidó, rendőrség, támadás, terrortámadás, hatóságok, cseh, tűz, rázta"
22,38,"háború, ukrajnában, száma, ukrán háború, ukrán, gyerekek, ukrajna, demográfiai, civilek, orosz ukrán"
23,38,"menczer, menczer tamás, tamás, 18, mandiner, 00, bujdosó, kommunikációs, bujdosó andrea, fidesz"
24,37,"ára, benzin, forinttal, piaci, ár, üzemanyag, árak, üzemanyagárak, hu, 95"
25,34,"cpac, hungary, cpac hungary, szánthó miklós, szánthó, miklós, jobboldali, budapestre, alapjogokért, alapjogokért központ"
26,32,"petíció, nemzeti, nemzeti petíció, hidvéghi balázs, hidvéghi, kabinetiroda parlamenti, balázs, kabinetiroda, miniszterelnöki kabinetiroda, parlamenti államtitkára"
27,32,"karácsony, karácsony gergely, gergely, főpolgármester, fővárosi, budapesti, szentkirályi, alexandra, szentkirályi alexandra, budapest"
