Topic,Count,Name,Representation,Representative_Docs
-1,323,-1_irán_nav_péter_magyar,"['irán', 'nav', 'péter', 'magyar', 'orbán', 'viktor', 'szalay bobrovniczky', 'bobrovniczky', 'szalay', 'orbán viktor']","['szalay-bobrovniczky kristóf: katonák őrzik az ország kritikus energetikai pontjait szalay-bobrovniczky kristóf honvédelmi miniszter a közösségi oldalán számolt be arról, hogy a magyar honvédség katonái az ország számos pontján teljesítenek szolgálatot a kritikus energetikai infrastruktúra védelmében.\n\nmindenki a helyén! katonáink az ország 75 kritikus energetikai végpontján teljes', 'újabb lépéseket tett a kormány a magyarok védelme érdekében + videó - a magyar honvédséggel erősítjük a kritikus energetikai infrastruktúra védelmét - jelentette ki szalay-bobrovniczky kristóf a közösségi oldalára feltöltött videójában. a honvédelmi miniszter elmondta: orbán viktor a védelmi tanács ülésén felkérte, hogy alapítsa meg azt az egyeztető törzset, amely g', 'szalay-bobrovniczky kristóf: katonáink már a terepen, megerősítjük a kritikus infrastruktúra védelmét + videó a magyar honvédség katonái megerősítik a védelmet a kijelölt kritikus energetikai végpontokon - közölte szalay-bobrovniczky kristóf facebook-oldalán. a honvédelmi miniszter hozzátette: a magyar emberek és magyarország biztonsága az első! orbán viktor a digitális polgári körök esztergomi gyűlése előt']"
0,5019,0_orbán_magyar_viktor_orbán viktor,"['orbán', 'magyar', 'viktor', 'orbán viktor', 'ukrán', 'péter', 'tisza', 'európai', 'miniszterelnök', 'videó']","['orbán viktor: az első csatát megnyertük, brüsszel ukránbarát kormányt akar jogunk van blokkolni a 90 milliárdos ukrán hitelt. erről beszélt orbán viktor miniszterelnök péntekre virradóra brüsszelben, az eu-csúcsról távozva újságíróknak nyilatkozva. a magyar miniszterelnök megvédte a magyar álláspontot a háborúpárti erőkkel szemben. a kormányfő hangsúlyozta: ha az ukránok d', 'magyar péter felhergelt hívei mindenhol nekiesnek a békés fidesz-szimpatizánsoknak magyar péter rendszeresen tiszás provokátorokat küld orbán viktor országjárásának a rendezvényeire. a tisza hívei erőszakoskodnak és megfélemlítik a kormánypártok szimpatizánsait. minden bizonnyal rendkívül zavarja magyar pétert, hogy minden fidesz-rendezvényen többen vannak, mint a tisza párt esemé', 'orbán viktor szerint magyar péterék kampánya inkább a fidesznek segít, mint a tisza pártnak (videó) bohár dániel, a patrióta riportere facebook -oldalán tette közzé orbán viktor felszólalását, amelyben a tisza párt kampányáról formált véleményt.\n\na felvételen hallható felszólalásában a kormányfő kifejtette, a magyar péter nevével fémjelzett kampány inkább kontraproduktív, és végső soron több polit']"
1,122,1_forint_milliárd_szijjártó péter_szijjártó,"['forint', 'milliárd', 'szijjártó péter', 'szijjártó', 'kft', 'milliárd forint', 'péter', 'külgazdasági', 'hazai', 'értékben']","['elektronikai cég visz 330 új munkahelyet kapuvárra az intretech hungary kft. elektronikai cég mintegy 25 milliárd forint értékben bővíti gyártási kapacitását kapuváron, aminek nyomán 330 új munkahely jön majd létre - közölte szijjártó péter külgazdasági és külügyminiszter csütörtökön a városban.\n\na tárcavezető az intretech hungary kft. friss beruház', 'újabb, ezúttal 2,5 milliárd forintos beruházást jelentett be szijjártó péter a tárcavezető a controlsoft automatika kft. beruházásának bejelentésén arról számolt be, hogy az ipari automatizálással foglalkozó, hazai tulajdonú cég egy új regionális szolgáltatóközpontot épít mintegy 2,5 milliárd forint értékben, amihez a kormány 940 millió forint támogatást nyújt, így segítve 2', 'szijjártó péter: a hazai tulajdonban lévő vállalkozások jelentik a nemzetgazdaság lelkét – videó a külgazdasági és külügyminisztérium közleménye szerint szijjártó péter a dga gépgyártó és automatizálási kft. friss beruházásának bejelentésén kiemelte, hogy a hazai tulajdonú vállalat kapacitásbővítést hajt végre 4,4 milliárd forint értékben, amihez a kormányzat 1,1 milliárd forint támogatást nyúj']"
2,94,2_szijjártó_szijjártó péter_keleten_péter,"['szijjártó', 'szijjártó péter', 'keleten', 'péter', 'arab', 'haza', 'keleti', 'repülőtér', 'külgazdasági', 'térségben']","['szijjártó péter telefonon egyeztetett emírségekbeli és jordániai kollégájával emírségekbeli és jordániai kollégájával egyeztetett a közel-keleti helyzetről és a térségben rekedt magyarok hazajuttatásáról kedd este a külgazdasági és külügyminiszter. szijjártó péter szerint a helyzet csak rosszabb lett, a légicsapások folyamatosak, de a minisztérium továbbra is minden segítsége', 'szijjártó péter bejelentést tett a magyarok kimenekítéséről a kormány felpörgeti a mentesítő járatok forgalmát a közel-keleten rekedt magyarok hazajuttatása érdekében, így a következő napokban mentesítő járatok indulnak jordániából, egyiptomból, szaúd-arábiából és egyesült arab emírségekből is – közölte szijjártó péter külgazdasági és külügyminiszter kedden', 'szijjártó péter: a biztonsági helyzet a közel-keleten tovább romlik sajnos a biztonsági helyzet a közel-keleten tovább romlik, az iráni csapások veszélyeztetik az arab-öböl szinte egész térségét – közölte szijjártó péter. mint mondta, \xa0„ezért a szövetségeseinkkel egyetértve úgy döntöttünk, hogy a katonáink hazatérnek, és mivel a térségben gyakorlatilag így a magyar']"
3,82,3_férfi_férfit_rendőr_rendőrség,"['férfi', 'férfit', 'rendőr', 'rendőrség', 'írja', 'nő', 'bíróság', 'rendőrök', 'történt', 'fiatal']","['elfogták a maszkos férfit, aki megtámadta a járási hivatal munkatársát zalában a rendőrök azonosították és elfogták azt a férfit, aki folyadékkal öntött le egy szakügyintézőt zalaszentgróton, közölte zala vármegyei rendőr-főkapitányság közleménye alapján a zaol . a tettes ellen közfeladatot ellátó személy elleni erőszak gyanúja miatt indult eljárás. türjén fogták el a budapest', 'baltával ütötte az édesapja fejét egy férfi fejérben baltával támadt rá az édesapjára, a fején találta el, majd távozott az ingatlanból egy alapi férfi - érkezett a bejelentés a fejér vármegyei rendőr-főkapitányság tevékenység-irányítási központjába március 28-án délután.', 'vérontás szakította félbe a rendőrség szimulációs gyakorlatát a belváros egyik forgalmas főútján, a konrad-adenauer-strassén két férfi között heves vita robbant ki egy zöldséges bolt előtt. egy harmadik férfi megpróbált közbelépni – de a helyzet teljesen elszabadult. az egyik férfi ekkor előrántott egy kést. szemtanúk szerint a támadó többször megszúrta áldoza']"
4,78,4_termékek_hatóság_élelmiszer_nemzeti,"['termékek', 'hatóság', 'élelmiszer', 'nemzeti', 'kereskedelmi', 'veszélyes', 'vállalat', 'kft', 'piacon', 'online']","['veszélyes termékek kiszűrése: magyarország ebben élenjáró a safety gate az európai unió által működtetett gyorsriasztási rendszer, amely lehetővé teszi a nem élelmiszer jellegű veszélyes termékekről szóló információk gyors megosztását a tagállamok között. ennek köszönhetően a nemzeti hatóságok – így a magyar piacfelügyeleti hatóságok is – gyorsan képesek b', 'egészségre veszélyes élelmiszer került magyarországi forgalomba, ne egye meg! egészségre potenciálisan veszélyes élelmiszer termékek miatt figyelmeztet a nemzeti élelmiszerlánc-biztonsági hivatal (nébih) . a paco márkájú csomagolt mazsolák egyes kiszereléseiben növényvédőszer-maradékot mutattak ki. a visszahívást a termék gyártója kezdeményezte.\n\ntermék neve: paco mazsola\n\npr', 'akcióban a fogyasztóvédelem - egyes játékok mérgező anyagokat tartalmazhatnak a nemzeti kereskedelmi és fogyasztóvédelmi hatóság (nkfh) laboratóriuma elemes játékbabákat, plüss játékokat, elektronikus játékokat és fülhallgatókat vizsgál, hogy a környezetre veszélyes kadmium- és ólomtartalmú termékeket kiszűrje és kivonja a forgalomból. a termékek mintavételére bevásárlóközpon']"
5,74,5_bank_jegybank_nemzeti bank_magyar nemzeti,"['bank', 'jegybank', 'nemzeti bank', 'magyar nemzeti', '25', 'forint', 'nemzeti', 'magyar', 'százalékos', 'magyarországon']","['döntött a jegybank: ez mindenkire hatással van a magyar nemzeti bank (mnb) monetáris tanácsa 25 bázisponttal 6,25 százalékra csökkentette a jegybanki alapkamatot, és a kamatfolyosó két szélét is ilyen mértékben vitte lejjebb – jelentette be a jegybank kedden. az egynapos (o/n) betéti kamat 5,25 százalékra, a kamatfolyosó felső széle, az egynapos', 'egy emberként lélegeztek fel a magyarok: rengeteg bizalomra ad okot az óriási bejelentés a magyar nemzeti bank (mnb) monetáris tanácsa változatlanul 6,25 százalékon hagyta a jegybanki alapkamatot, a kamatfolyosó két széle sem változott – jelentette be a jegybank kedden.\n\naz egynapos (o/n) betéti kamat 5,25 százalék, a kamatfolyosó felső széle, az egynapos (o/n) hitel kamata 7,25 százalé', 'változatlanul hagyta az alapkamatot a monetáris tanács a magyar nemzeti bank (mnb) monetáris tanácsa változatlanul 6,25 százalékon hagyta a jegybanki alapkamatot, a kamatfolyosó két széle sem változott - jelentette be a jegybank kedden. az egynapos (o/n) betéti kamat 5,25 százalék, a kamatfolyosó felső széle, az egynapos (o/n) hitel kamata 7,25 százalék']"
6,59,6_budapest_közlekedési_út_március,"['budapest', 'közlekedési', 'út', 'március', 'budapesti', 'március 15', 'hétvégén', '15', 'fővárosban', 'forgalmi']","['jobb, ha nem autózik budapesten a hétvégén, jelentős forgalomkorlátozások lesznek az mti tájékoztatása – budapesten, 2026. március 20-án, pénteken közölte a budapesti közlekedési központ, hogy a hétvégén megrendezett 41. telekom vivicittá városvédő futás miatt több jelentős közlekedési útvonalon kell forgalomkorlátozásokra számítani. a vivicittá futóverseny a margitszigetet, az á', 'március 15: fontos figyelmeztetést adott ki a rendőrség a budapesti rendőr-főkapitányság a közösségi oldalán figyelmeztette az autósokat: aki a hétvégén autóval közlekedne a fővárosban, annak érdemes előre tájékozódnia a március 15-i lezárásokról.\n\na rendőrség közlése szerint a március 15-i rendezvények és gyűlések miatt már péntektől kezdődően, de a tel', 'brutális lezárások jönnek budapesten: március 15. miatt a fél város megbénulhat a március 15-i nemzeti ünnephez kapcsolódó rendezvények miatt a főváros több kerületében forgalomkorlátozások lesznek - közölte a budapesti rendőr-főkapitányság csütörtökön a police.hu oldalon.\n\na közlemény szerint lezárják március 14-én 0 órától március 16-án 2 óráig a budapest vi. kerületében lévő']"
7,39,7_nyugdíj_havi_2026_13,"['nyugdíj', 'havi', '2026', '13', '14', 'nyugdíjas', 'érkezik', 'magyar', 'idősek', 'kaptak']","['nem áll meg a családok segítése: 2026-ban az idősek is kiemelt figyelmet kapnak új fejlesztésekkel bővült az ingyenes gondosóra applikáció – közölte nyitrai zsolt, a miniszterelnök főtanácsadója vasárnap a facebook-oldalán. a politikus kiemelte, a nyugdíjasok helyzete a kormány számára becsületbeli ügy: februárban dupla nyugdíjat és a 14. havi nyugdíj első részletét is megkaptá', 'ezzel a trükkel több százalékkal magasabb lehet a nyugdíj a nyugdíj igénylése előtt érdemes mérlegelni a szabályozási környezetet, a nyugdíjemelés rendszerét és a 13. havi nyugdíj jogosultsági feltételeit. nem mindegy, hogy valaki 2026-ban vagy 2027-ben kéri az ellátást, mert a számítás alapját jelentő valorizációs szorzók évente változnak, és ez hatással', 'a fidesz vállalta és megcsinálta - a 13. után már 14. havi juttatás is jár a nyugdíjasoknak a 13. havi nyugdíj témájáról nem lehet anélkül beszélni, hogy ne idéznénk fel bajnai gordon rövid miniszterelnökségének egyik legfájdalmasabb intézkedését: a juttatás megszüntetését 2009-ben. a baloldali megszorításra az orbán-kormány úgy reagált, hogy felvette vállalásai közé a 13. havi nyugdíj fel']"
8,37,8_terjed_halálos_súlyos_vármegyében,"['terjed', 'halálos', 'súlyos', 'vármegyében', 'ütötte', 'gyorsan', 'fejét', 'járvány', 'ritka', 'száma']","['figyelem! súlyos járvány ütötte fel a fejét a magyar telepeken újabb madárinfluenza-fertőzést azonosítottak magyarországon: ezúttal kiskunfélegyházán, egy mintegy ötezer egyedből álló mulard kacsaállományban mutatta ki a vírust a nemzeti élelmiszerlánc-biztonsági hivatal laboratóriuma .\n\na hatóság közlése szerint az érintett állomány felszámolása már folyamatba', 'halálos fertőzés terjed európában – ha ezt érzi, azonnal orvos kell a borna vírus egy olyan halálos vírus, amely állatról emberre terjedő betegségként vált ismertté, és elsősorban súlyos agyvelőgyulladást okozhat. bár rendkívül ritka, a borna vírus veszélyei miatt a szakemberek kiemelten foglalkoznak vele - tájékoztat a fit book .\n\na borna vírus tünetei kezdetben me', 'halálos vírus terjed európában: jobb lesz vigyázni, nagyon nehéz felismerni a tüneteket európában egyre nagyobb figyelmet kap a borna vírus, egy ritka, ám rendkívül veszélyes fertőzés, amely kezdetben ártalmatlannak tűnő tünetekkel jelentkezik, azonban gyorsan súlyos állapothoz vezethet.\n\na vírus elsősorban súlyos agyvelőgyulladást okozhat, és bár az esetek száma rendkívül alacsony, a']"
