Topic,ArticleCount_kesma,Pct_kesma,Name_kesma,ArticleCount_indep,Pct_indep,Name_indep
0,5019.0,88.97358624357383,0_orbán_magyar_viktor_orbán viktor,808,18.830109531577722,0_magyar_orbán_választási_fidesz
1,122.0,2.16273710335047,1_forint_milliárd_szijjártó péter_szijjártó,627,14.611978559776276,1_izraeli_izrael_iráni_irán
2,94.0,1.6663712107782307,2_szijjártó_szijjártó péter_keleten_péter,273,6.36215334420881,2_bence_szabó_szabó bence_nyomozó
3,82.0,1.453642971104414,3_férfi_férfit_rendőr_rendőrség,257,5.989279888137963,3_orosz_putyin_szijjártó_vlagyimir
4,78.0,1.3827335578798086,4_termékek_hatóság_élelmiszer_nemzeti,208,4.847354928920997,4_barátság_kőolajvezeték_barátság kőolajvezeték_európai
5,74.0,1.3118241446552028,5_bank_jegybank_nemzeti bank_magyar nemzeti,120,2.796550920531345,5_megölték_ali_vezetőjét_valóban
6,59.0,1.0459138450629322,6_budapest_közlekedési_út_március,115,2.6800279655092054,6_védett_üzemanyag_kormány_ár
7,39.0,0.6913667789399043,7_nyugdíj_havi_2026_13,110,2.563505010487066,7_milliárd_mnb_forint_bank
8,37.0,0.6559120723276014,8_terjed_halálos_súlyos_vármegyében,92,2.144022372407364,8_medián_tisza_21_21 kutatóközpont
9,37.0,0.6559120723276014,9_épület_húsvétvasárnap_ikonikus_egykori,81,1.8876718713586575,9_mentesítő_rekedt_air_szijjártó
10,,,,79,1.8410626893498019,10_plakátokat_választási_plakátok_kossuth
11,,,,75,1.7478443253320906,11_ukrán_pénzszállítók_ukrán pénzszállítók_pénzszállító
12,,,,71,1.654625961314379,12_gyula_orvos_országos_intézet
13,,,,66,1.5381030062922396,13_rendszerbontó_puzsér_hősök_hősök terén
14,,,,63,1.468189233278956,14_kubai_spanyol_trump_vitályos
15,,,,59,1.3749708692612443,15_amerikai hadsereg_hadsereg_iráni_áldozatainak száma
16,,,,58,1.3516662782568165,16_444_percről percre_percről_győztesnek
17,,,,54,1.2584479142391052,17_békemenet_andrássy_tömeg_menet
18,,,,54,1.2584479142391052,18_drón_dróntámadás_dubaji_repülőtér
19,,,,53,1.2351433232346771,19_catl_debreceni_debreceni catl_debrecen
20,,,,49,1.1419249592169658,20_444_kormánypárti média_provokációról_szöveges
21,,,,48,1.118620368212538,21_vance_alelnök_amerikai alelnök_budapestre
22,,,,48,1.118620368212538,22_gyereket_gyerekek_dúró_gyerek
23,,,,47,1.0953157772081101,23_nato_trump_donald_donald trump
24,,,,46,1.072011186203682,24_orosz_oroszország_ukrán_tengeren
25,,,,44,1.0254020041948264,25_szerb_találtak_talált_aleksandar
26,,,,43,1.0020974131903984,26_forinttal_benzin_bruttó_ára
27,,,,43,1.0020974131903984,27_facebook_digitális_rádió_kúria
28,,,,43,1.0020974131903984,28_tűz_katasztrófavédelmi_kigyulladt_tűzoltók
29,,,,39,0.908879049172687,29_katolikus_szent_sulyok_templomban
30,,,,39,0.908879049172687,30_véget_cbs_trump_véget ért
31,,,,38,0.8855744581682592,31_budapest_máv_vonalon_vasúti
32,,,,37,0.8622698671638312,32_háború_globális_hormuzi_olaj
33,,,,36,0.8389652761594033,33_legfelsőbb_hamenei_ajatollah_modzstaba
34,,,,35,0.8156606851549755,34_ára_brent_olaj_hordónkénti
35,,,,35,0.8156606851549755,35_ner_mészáros_árfolyama_cégek
36,,,,35,0.8156606851549755,36_európai_ep_eu_unió
37,,,,33,0.7690515031461198,37_hormuzi szorost_szorost_hormuzi_lezárták
38,,,,32,0.745746912141692,38_szoroson_hormuzi szoroson_hormuzi_hajók
39,,,,31,0.722442321137264,39_samsung_gödi_gödi samsung_gyár
40,,,,29,0.6758331391284083,40_otthon_duna_3000_vitézy
41,,,,28,0.6525285481239804,41_máv_embert_történt_szerdára
42,,,,28,0.6525285481239804,42_háborús feszültség_trump mondja_megakadályozzák_fegyver
43,,,,28,0.6525285481239804,43_forint_euró_erősödött_reggel
44,,,,27,0.6292239571195526,44_karácsony_karácsony gergely_gergely_bíróság
45,,,,27,0.6292239571195526,45_lelőtt_amerikai_ös_tagját
