topic_source,Topic,Name,ArticleCount_kesma,Pct_kesma,ArticleCount_indep,Pct_indep,keywords
KESMA,0,0_ukrán_zelenszkij_magyar_európai,3670,0.7138688971017312,1118,0.44400317712470216,"baratsag, europai, magyar, magyar peter, magyarorszag, orban, peter, ukrajna, ukran, zelenszkij"
KESMA,1,1_viktor_orbán viktor_orbán_miniszterelnök,1955,0.3802762108539195,620,0.24622716441620335,"bekemenet, hatalmas, kozossegi, miniszterelnok, oldalan, orban, orban viktor, orszagjarasa, tomeg, viktor"
KESMA,2,2_panyi_külföldi_szabolcs_tiszás,1502,0.2921610581598911,577,0.22915011914217634,"kulfoldi, panyi, peter, szabolcs, szijjarto, szijjarto peter, tisza, tiszas, titkosszolgalati, ujsagiro"
KESMA,3,3_védett_tisza_kapitány_párt,1993,0.3876677689165532,844,0.335186656076251,"istvan, kapitany, kapitany istvan, magyar, part, rezsicsokkentes, tisza, tisza part, tiszas, vedett"
KESMA,4,4_orosz_ukrán_erők_drónok,2000,0.3890293717175647,686,0.27243844320889593,"dron, dronok, erok, independent, marcius, orosz, oroszorszag, tamadas, ukrajna, ukran"
KESMA,5,5_fidesz_választási_országgyűlési_nemzeti,1015,0.19743240614666407,627,0.2490071485305798,"12, aprilis, aprilis 12, egyeni, fidesz, iroda, nemzeti, orszaggyulesi, valasztas, valasztasi"
KESMA,6,6_migrációs_spanyol_migráció_németországban,1123,0.21843999221941257,507,0.20135027799841143,"europa, europai, illegalis, irani, migracio, migracios, nemet, nemetorszagban, nyugat, spanyol"
KESMA,7,7_trump_donald_donald trump_irán,1066,0.20735265512546197,862,0.34233518665607626,"allamok, amerikai, amerikai elnok, donald, donald trump, egyesult, elnok, iran, irani, trump"
KESMA,8,8_vance_amerikai_alelnök_amerikai alelnök,1768,0.34390196459832717,800,0.3177124702144559,"alelnok, amerikai, amerikai alelnok, donald, jd, jd vance, orban, trump, vance, vance amerikai"
KESMA,9,9_hormuzi_irán_globális_szoros,903,0.17564676133048046,702,0.27879269261318507,"globalis, haboru, hormuzi, hormuzi szoros, iran, irani, olaj, szoros, tengeri, vilag"
