Topic,ArticleCount_kesma,Pct_kesma,Name_kesma,ArticleCount_indep,Pct_indep,Name_indep
0,2011,39.61780929866036,0_ukrán_zelenszkij_magyar_európai,402.0,20.458015267175572,0_választási_párt_fidesz_tisza
1,673,13.258471237194641,1_viktor_orbán viktor_orbán_miniszterelnök,960.0,48.854961832061065,1_magyar_orbán_péter_magyar péter
2,296,5.831363278171789,2_panyi_külföldi_szabolcs_tiszás,312.0,15.877862595419847,2_vance_amerikai alelnök_fideszre_alelnök
3,290,5.7131599684791174,3_védett_tisza_kapitány_párt,291.0,14.80916030534351,3_orbán_viktor_orbán viktor_orbán viktort
4,244,4.806934594168637,4_orosz_ukrán_erők_drónok,,,
5,152,2.9944838455476757,5_fidesz_választási_országgyűlési_nemzeti,,,
6,120,2.3640661938534278,6_migrációs_spanyol_migráció_németországban,,,
7,113,2.2261623325453113,7_trump_donald_donald trump_irán,,,
8,105,2.068557919621749,8_vance_amerikai_alelnök_amerikai alelnök,,,
9,102,2.0094562647754137,9_hormuzi_irán_globális_szoros,,,
10,83,1.6351457840819543,10_tiszás_puzsér_fidesz_nyitókép,,,
11,81,1.5957446808510638,11_izrael_irán_izraeli_iráni,,,
12,79,1.5563435776201733,12_áramlat_török_török áramlat_szerb,,,
13,78,1.5366430260047281,13_balázs_egyetem_magyar_alapítvány,,,
14,75,1.4775413711583925,14_radnai_magyar péter_radnai márk_márk,,,
15,71,1.3987391646966114,15_ukrajnában_férfit_férfi_felvétel,,,
16,53,1.0441292356185972,16_szijjártó_magyar_szabadon_állampolgárságú,,,
17,52,1.024428684003152,17_medián_deák_deák dániel_dániel,,,
18,51,1.0047281323877069,18_fideszes_férfi_aktivista_aktivistát,,,
19,51,1.0047281323877069,19_amerikai_iráni_irán_nato,,,
20,46,0.9062253743104807,20_facebook_választások_közösségi_hu,,,
21,39,0.7683215130023641,21_robbanás_történt_zsidó_rendőrség,,,
22,38,0.7486209613869189,22_háború_ukrajnában_száma_ukrán háború,,,
23,38,0.7486209613869189,23_menczer_menczer tamás_tamás_18,,,
24,37,0.7289204097714737,24_ára_benzin_forinttal_piaci,,,
25,34,0.6698187549251379,25_cpac_hungary_cpac hungary_szánthó miklós,,,
26,32,0.6304176516942475,26_petíció_nemzeti_nemzeti petíció_hidvéghi balázs,,,
27,32,0.6304176516942475,27_karácsony_karácsony gergely_gergely_főpolgármester,,,
