kesma_topic_id,kesma_topic_name,indep_topic_id,indep_topic_name,jaccard,n_shared,n_kesma_only,n_indep_only,shared_keywords,kesma_only_keywords,indep_only_keywords
5,5_bank_jegybank_nemzeti bank_magyar nemzeti,7,7_milliárd_mnb_forint_bank,0.3333,5,5,5,"bank, forint, magyar, magyar nemzeti, nemzeti bank","25, jegybank, magyarországon, nemzeti, százalékos","forintot, hadházy, milliárd, millió, mnb"
0,0_orbán_magyar_viktor_orbán viktor,0,0_magyar_orbán_választási_fidesz,0.25,4,6,6,"magyar, orbán, péter, tisza","európai, miniszterelnök, orbán viktor, ukrán, videó, viktor","dk, fidesz, magyar péter, párt, választási, választáson"
2,2_szijjártó_szijjártó péter_keleten_péter,9,9_mentesítő_rekedt_air_szijjártó,0.25,4,6,6,"haza, keleti, szijjártó, szijjártó péter","arab, keleten, külgazdasági, péter, repülőtér, térségben","air, helyzet, járat, keletről, mentesítő, rekedt"
1,1_forint_milliárd_szijjártó péter_szijjártó,3,3_orosz_putyin_szijjártó_vlagyimir,0.1765,3,7,7,"péter, szijjártó, szijjártó péter","forint, hazai, kft, külgazdasági, milliárd, milliárd forint, értékben","kreml, magyar, orosz, oroszország, putyin, vlagyimir, vlagyimir putyin"
2,2_szijjártó_szijjártó péter_keleten_péter,3,3_orosz_putyin_szijjártó_vlagyimir,0.1765,3,7,7,"péter, szijjártó, szijjártó péter","arab, haza, keleten, keleti, külgazdasági, repülőtér, térségben","kreml, magyar, orosz, oroszország, putyin, vlagyimir, vlagyimir putyin"
1,1_forint_milliárd_szijjártó péter_szijjártó,9,9_mentesítő_rekedt_air_szijjártó,0.1111,2,8,8,"szijjártó, szijjártó péter","forint, hazai, kft, külgazdasági, milliárd, milliárd forint, péter, értékben","air, haza, helyzet, járat, keleti, keletről, mentesítő, rekedt"
0,0_orbán_magyar_viktor_orbán viktor,3,3_orosz_putyin_szijjártó_vlagyimir,0.1111,2,8,8,"magyar, péter","európai, miniszterelnök, orbán, orbán viktor, tisza, ukrán, videó, viktor","kreml, orosz, oroszország, putyin, szijjártó, szijjártó péter, vlagyimir, vlagyimir putyin"
0,0_orbán_magyar_viktor_orbán viktor,4,4_barátság_kőolajvezeték_barátság kőolajvezeték_európai,0.1111,2,8,8,"európai, orbán","magyar, miniszterelnök, orbán viktor, péter, tisza, ukrán, videó, viktor","barátság, barátság kőolajvezeték, kőolajvezeték, orosz, szlovák, ukrajna, vezeték, zelenszkij"
4,4_termékek_hatóság_élelmiszer_nemzeti,19,19_catl_debreceni_debreceni catl_debrecen,0.1111,2,8,8,"kft, veszélyes","hatóság, kereskedelmi, nemzeti, online, piacon, termékek, vállalat, élelmiszer","anyagokat, catl, debrecen, debreceni, debreceni catl, tárkányi, tárkányi zsolt, vizsgálatot"
1,1_forint_milliárd_szijjártó péter_szijjártó,7,7_milliárd_mnb_forint_bank,0.1111,2,8,8,"forint, milliárd","hazai, kft, külgazdasági, milliárd forint, péter, szijjártó, szijjártó péter, értékben","bank, forintot, hadházy, magyar, magyar nemzeti, millió, mnb, nemzeti bank"
6,6_budapest_közlekedési_út_március,31,31_budapest_máv_vonalon_vasúti,0.1111,2,8,8,"budapest, közlekedési","15, budapesti, forgalmi, fővárosban, hétvégén, március, március 15, út","déli, irányba, ment, máv, vasúti, vonalon, építési, építési közlekedési"
0,0_orbán_magyar_viktor_orbán viktor,10,10_plakátokat_választási_plakátok_kossuth,0.0526,1,9,9,péter,"európai, magyar, miniszterelnök, orbán, orbán viktor, tisza, ukrán, videó, viktor","díjat, fideszes, jakab, kossuth, plakátok, plakátokat, takács, videót, választási"
0,0_orbán_magyar_viktor_orbán viktor,11,11_ukrán_pénzszállítók_ukrán pénzszállítók_pénzszállító,0.0526,1,9,9,ukrán,"európai, magyar, miniszterelnök, orbán, orbán viktor, péter, tisza, videó, viktor","hatóságok, lefoglalt, magyar hatóságok, nav, pénzszállító, pénzszállítók, tek, ukrán pénzszállítók, ügyvédje"
3,3_férfi_férfit_rendőr_rendőrség,44,44_karácsony_karácsony gergely_gergely_bíróság,0.0526,1,9,9,bíróság,"fiatal, férfi, férfit, nő, rendőr, rendőrség, rendőrök, történt, írja","büntetőeljárást, felfüggesztette, főpolgármester, gergely, gergely főpolgármester, karácsony, karácsony gergely, pride, vitézy"
1,1_forint_milliárd_szijjártó péter_szijjártó,19,19_catl_debreceni_debreceni catl_debrecen,0.0526,1,9,9,kft,"forint, hazai, külgazdasági, milliárd, milliárd forint, péter, szijjártó, szijjártó péter, értékben","anyagokat, catl, debrecen, debreceni, debreceni catl, tárkányi, tárkányi zsolt, veszélyes, vizsgálatot"
9,9_épület_húsvétvasárnap_ikonikus_egykori,16,16_444_percről percre_percről_győztesnek,0.0526,1,9,9,turisztikai,"beszédet mond, egykori, húsvétvasárnap, ikonikus, központ, négyzetméteres, található, város, épület","444, békemenetet, győztesnek, kormánypárti média, nemzeti meneten, percre, percről, percről percre, ügynöksége"
4,4_termékek_hatóság_élelmiszer_nemzeti,36,36_európai_ep_eu_unió,0.0526,1,9,9,kereskedelmi,"hatóság, kft, nemzeti, online, piacon, termékek, veszélyes, vállalat, élelmiszer","bizottság, ep, eu, európai, európai bizottság, európai unió, megállapodás, parlament, unió"
1,1_forint_milliárd_szijjártó péter_szijjártó,43,43_forint_euró_erősödött_reggel,0.0526,1,9,9,forint,"hazai, kft, külgazdasági, milliárd, milliárd forint, péter, szijjártó, szijjártó péter, értékben","csúcsra, dollár, erősödött, esti, euró, járt, reggel, reggelre, árfolyam"
0,0_orbán_magyar_viktor_orbán viktor,36,36_európai_ep_eu_unió,0.0526,1,9,9,európai,"magyar, miniszterelnök, orbán, orbán viktor, péter, tisza, ukrán, videó, viktor","bizottság, ep, eu, európai bizottság, európai unió, kereskedelmi, megállapodás, parlament, unió"
3,3_férfi_férfit_rendőr_rendőrség,41,41_máv_embert_történt_szerdára,0.0526,1,9,9,történt,"bíróság, fiatal, férfi, férfit, nő, rendőr, rendőrség, rendőrök, írja","baleset, dőlt, embert, máv, szerdára, szerdára virradó, vasúti, virradó éjszaka, vonaton"
0,0_orbán_magyar_viktor_orbán viktor,2,2_bence_szabó_szabó bence_nyomozó,0.0526,1,9,9,tisza,"európai, magyar, miniszterelnök, orbán, orbán viktor, péter, ukrán, videó, viktor","alkotmányvédelmi, alkotmányvédelmi hivatal, bence, direkt36, gulyás, nyomozó, szabó, szabó bence, titkosszolgálati"
1,1_forint_milliárd_szijjártó péter_szijjártó,10,10_plakátokat_választási_plakátok_kossuth,0.0526,1,9,9,péter,"forint, hazai, kft, külgazdasági, milliárd, milliárd forint, szijjártó, szijjártó péter, értékben","díjat, fideszes, jakab, kossuth, plakátok, plakátokat, takács, videót, választási"
1,1_forint_milliárd_szijjártó péter_szijjártó,0,0_magyar_orbán_választási_fidesz,0.0526,1,9,9,péter,"forint, hazai, kft, külgazdasági, milliárd, milliárd forint, szijjártó, szijjártó péter, értékben","dk, fidesz, magyar, magyar péter, orbán, párt, tisza, választási, választáson"
2,2_szijjártó_szijjártó péter_keleten_péter,0,0_magyar_orbán_választási_fidesz,0.0526,1,9,9,péter,"arab, haza, keleten, keleti, külgazdasági, repülőtér, szijjártó, szijjártó péter, térségben","dk, fidesz, magyar, magyar péter, orbán, párt, tisza, választási, választáson"
2,2_szijjártó_szijjártó péter_keleten_péter,10,10_plakátokat_választási_plakátok_kossuth,0.0526,1,9,9,péter,"arab, haza, keleten, keleti, külgazdasági, repülőtér, szijjártó, szijjártó péter, térségben","díjat, fideszes, jakab, kossuth, plakátok, plakátokat, takács, videót, választási"
4,4_termékek_hatóság_élelmiszer_nemzeti,39,39_samsung_gödi_gödi samsung_gyár,0.0526,1,9,9,veszélyes,"hatóság, kereskedelmi, kft, nemzeti, online, piacon, termékek, vállalat, élelmiszer","fico, gyár, gyárában, gödi, gödi samsung, por, samsung, samsung gyár, telex"
0,0_orbán_magyar_viktor_orbán viktor,6,6_védett_üzemanyag_kormány_ár,0.0526,1,9,9,magyar,"európai, miniszterelnök, orbán, orbán viktor, péter, tisza, ukrán, videó, viktor","benzin, dízel, kormány, liter, rendkívüli, védett, ár, áron, üzemanyag"
2,2_szijjártó_szijjártó péter_keleten_péter,18,18_drón_dróntámadás_dubaji_repülőtér,0.0526,1,9,9,repülőtér,"arab, haza, keleten, keleti, külgazdasági, péter, szijjártó, szijjártó péter, térségben","amerikai, drón, drón csapódott, drónok, drónt, dróntámadás, dubaji, közelében, nemzetközi repülőtér"
