kesma_topic_id,kesma_topic_name,indep_topic_id,indep_topic_name,jaccard,n_shared,n_kesma_only,n_indep_only,shared_keywords,kesma_only_keywords,indep_only_keywords
8,8_vance_amerikai_alelnök_amerikai alelnök,2,2_vance_amerikai alelnök_fideszre_alelnök,0.5385,7,3,3,"alelnök, amerikai, amerikai alelnök, jd, jd vance, vance, vance amerikai","donald, orbán, trump","fideszre, függetlenül, pontos"
5,5_fidesz_választási_országgyűlési_nemzeti,0,0_választási_párt_fidesz_tisza,0.4286,6,4,4,"12, fidesz, választás, választási, április, április 12","egyéni, iroda, nemzeti, országgyűlési","magyar, párt, tisza, tisza párt"
0,0_ukrán_zelenszkij_magyar_európai,1,1_magyar_orbán_péter_magyar péter,0.3333,5,5,5,"magyar, magyar péter, orbán, péter, ukrán","barátság, európai, magyarország, ukrajna, zelenszkij","gábor, miniszterelnök, orbán viktor, tisza, viktor"
1,1_viktor_orbán viktor_orbán_miniszterelnök,1,1_magyar_orbán_péter_magyar péter,0.25,4,6,6,"miniszterelnök, orbán, orbán viktor, viktor","békemenet, hatalmas, közösségi, oldalán, országjárása, tömeg","gábor, magyar, magyar péter, péter, tisza, ukrán"
1,1_viktor_orbán viktor_orbán_miniszterelnök,3,3_orbán_viktor_orbán viktor_orbán viktort,0.25,4,6,6,"miniszterelnök, orbán, orbán viktor, viktor","békemenet, hatalmas, közösségi, oldalán, országjárása, tömeg","lázár, orbán viktort, szabó, színpadon, történt, viktort"
3,3_védett_tisza_kapitány_párt,0,0_választási_párt_fidesz_tisza,0.25,4,6,6,"magyar, párt, tisza, tisza párt","istván, kapitány, kapitány istván, rezsicsökkentés, tiszás, védett","12, fidesz, választás, választási, április, április 12"
14,14_radnai_magyar péter_radnai márk_márk,1,1_magyar_orbán_péter_magyar péter,0.25,4,6,6,"magyar, magyar péter, péter, tisza","kocsis, kocsis máté, márk, máté, radnai, radnai márk","gábor, miniszterelnök, orbán, orbán viktor, ukrán, viktor"
2,2_panyi_külföldi_szabolcs_tiszás,1,1_magyar_orbán_péter_magyar péter,0.1111,2,8,8,"péter, tisza","külföldi, panyi, szabolcs, szijjártó, szijjártó péter, tiszás, titkosszolgálati, újságíró","gábor, magyar, magyar péter, miniszterelnök, orbán, orbán viktor, ukrán, viktor"
14,14_radnai_magyar péter_radnai márk_márk,0,0_választási_párt_fidesz_tisza,0.1111,2,8,8,"magyar, tisza","kocsis, kocsis máté, magyar péter, márk, máté, péter, radnai, radnai márk","12, fidesz, párt, tisza párt, választás, választási, április, április 12"
16,16_szijjártó_magyar_szabadon_állampolgárságú,1,1_magyar_orbán_péter_magyar péter,0.1111,2,8,8,"magyar, péter","férfi, kettős, kárpátaljai, orosz, szabadon, szijjártó, szijjártó péter, állampolgárságú","gábor, magyar péter, miniszterelnök, orbán, orbán viktor, tisza, ukrán, viktor"
3,3_védett_tisza_kapitány_párt,1,1_magyar_orbán_péter_magyar péter,0.1111,2,8,8,"magyar, tisza","istván, kapitány, kapitány istván, párt, rezsicsökkentés, tisza párt, tiszás, védett","gábor, magyar péter, miniszterelnök, orbán, orbán viktor, péter, ukrán, viktor"
2,2_panyi_külföldi_szabolcs_tiszás,0,0_választási_párt_fidesz_tisza,0.0526,1,9,9,tisza,"külföldi, panyi, péter, szabolcs, szijjártó, szijjártó péter, tiszás, titkosszolgálati, újságíró","12, fidesz, magyar, párt, tisza párt, választás, választási, április, április 12"
