Timestamp,"orbán, magyar, viktor, orbán viktor, ukrán, péter, tisza, európai, miniszterelnök, videó","forint, milliárd, szijjártó péter, szijjártó, kft, milliárd forint, péter, külgazdasági, hazai, értékben","szijjártó, szijjártó péter, keleten, péter, arab, haza, keleti, repülőtér, külgazdasági, térségben","termékek, hatóság, élelmiszer, nemzeti, kereskedelmi, veszélyes, vállalat, kft, piacon, onlin","bank, jegybank, nemzeti bank, magyar nemzeti, 25, forint, nemzeti, magyar, százalékos, magyarországon","magyar, orbán, választási, fidesz, párt, magyar péter, dk, péter, tisza, választáson","izraeli, izrael, iráni, irán, libanoni, hadsereg, izraeli hadsereg, védelmi, egyesült, erők","bence, szabó, szabó bence, nyomozó, alkotmányvédelmi, direkt36, tisza, gulyás, titkosszolgálati, alkotmányvédelmi hivatal","orosz, putyin, szijjártó, vlagyimir, szijjártó péter, vlagyimir putyin, magyar, oroszország, péter, kreml","barátság, kőolajvezeték, barátság kőolajvezeték, európai, ukrajna, orosz, zelenszkij, orbán, vezeték, szlovák","megölték, ali, vezetőjét, valóban, ali hamenei, hamenei, légicsapásokban, ajatollahot, hamenei ajatollahot, hameneit","védett, üzemanyag, kormány, ár, benzin, áron, dízel, rendkívüli, magyar, liter","milliárd, mnb, forint, bank, magyar nemzeti, nemzeti bank, forintot, millió, hadházy, magya","medián, tisza, 21, 21 kutatóközpont, körében, kutatóközpont, biztos, vezet, választani, intézet","mentesítő, rekedt, air, szijjártó, keleti, haza, szijjártó péter, helyzet, járat, keletről","plakátokat, választási, plakátok, kossuth, fideszes, videót, díjat, jakab, péter, takács","ukrán, pénzszállítók, ukrán pénzszállítók, pénzszállító, lefoglalt, tek, magyar hatóságok, hatóságok, ügyvédje, nav","gyula, orvos, országos, intézet, lemondott, orvosi, kórházi, osztrák, főigazgatója, főigazgat","rendszerbontó, puzsér, hősök, hősök terén, színpadra, terén, mocskos, nagykoncerten, rendszerbontó nagykoncerten, puzsér róbert","kubai, spanyol, trump, vitályos, ausztria, szentendrén, amerikai, vitályos eszter, eszter, katonai","amerikai hadsereg, hadsereg, iráni, áldozatainak száma, áldozatainak, meghalt irán, meghalhatott, tájékoztató, tegnapi, parancsnokságának","444, percről percre, percről, győztesnek, percre, turisztikai, ügynöksége, békemenetet, nemzeti meneten, kormánypárti média","békemenet, andrássy, tömeg, menet, eleje, hősök, margit, kossuth, téren, andrássy úton","drón, dróntámadás, dubaji, repülőtér, drónok, közelében, drónt, drón csapódott, nemzetközi repülőtér, amerikai","catl, debreceni, debreceni catl, debrecen, veszélyes, tárkányi, tárkányi zsolt, anyagokat, kft, vizsgálatot","ukrán, zelenszkij, magyar, európai, ukrajna, barátság, péter, orbán, magyar péter, magyarország","viktor, orbán viktor, orbán, miniszterelnök, tömeg, békemenet, országjárása, hatalmas, oldalán, közösségi","panyi, külföldi, szabolcs, tiszás, szijjártó, tisza, szijjártó péter, újságíró, titkosszolgálati, péter","védett, tisza, kapitány, párt, tisza párt, kapitány istván, istván, rezsicsökkentés, tiszás, magyar","orosz, ukrán, erők, drónok, oroszország, drón, ukrajna, támadás, independent, március","fidesz, választási, országgyűlési, nemzeti, egyéni, választás, iroda, 12, április, április 12","migrációs, spanyol, migráció, németországban, illegális, európai, európa, német, iráni, nyugat","trump, donald, donald trump, irán, amerikai, amerikai elnök, elnök, egyesült, iráni, államok","vance, amerikai, alelnök, amerikai alelnök, jd, jd vance, trump, vance amerikai, donald, orbán","hormuzi, irán, globális, szoros, iráni, olaj, hormuzi szoros, világ, háború, tengeri","tiszás, puzsér, fidesz, nyitókép, fiatalok, rendszerbontó, róbert, videó, tiszások, hann","izrael, irán, izraeli, iráni, egyesült, államok, indított, egyesült államok, teherán, katonai","áramlat, török, török áramlat, szerb, gázvezeték, találtak, közelében, magyarországot, áramlatot, északi","balázs, egyetem, magyar, alapítvány, felelős, oktatási, ferenc, miniszter, felelős miniszter, idei","radnai, magyar péter, radnai márk, márk, péter, magyar, kocsis, tisza, kocsis máté, máté","ukrajnában, férfit, férfi, felvétel, utcán, ukrán, ukrajnai, látható, videó, férfiakat",Milyen mértékben követi a belpolitikai híreket?,Milyen mértékben követi a külpolitikai híreket?,Milyen mértékben követi a gazdasági híreket?,"választási, párt, fidesz, tisza, 12, április, április 12, tisza párt, választás, magyar","magyar, orbán, péter, magyar péter, viktor, orbán viktor, ukrán, miniszterelnök, gábor, tisza"
5/28/2026 15:06:39,4,2,1,5,2,1,1,2,3,3,4,5,3,1,3,1,3,2,4,2,2,3,1,3,2,,2,2,4,3,3,6,2,3,4,1,1,4,3,4,3,,,,,
5/28/2026 17:37:44,1,7,1,1,4,7,4,7,1,1,4,1,7,7,1,4,4,7,7,1,7,7,1,4,7,1,1,4,4,2,4,1,1,1,4,7,4,1,7,7,1,7,6,6,,
5/28/2026 23:30:12,2,2,2,5,4,3,3,6,2,2,4,1,2,6,2,3,2,6,7,2,4,6,6,4,6,4,4,6,3,2,4,2,2,1,4,6,4,2,5,6,2,5,5,4,,
5/29/2026 12:50:51,5,1,3,3,3,4,5,3,6,5,5,2,6,6,2,5,3,5,2,4,5,6,1,4,7,2,1,4,5,6,2,2,5,1,4,2,5,2,4,5,3,5,3,4,,
5/29/2026 13:32:07,1,6,2,2,3,5,3,6,7,2,4,3,6,2,4,5,4,4,7,5,6,7,6,5,5,2,1,6,2,6,4,1,3,2,3,6,6,3,5,3,2,7,6,7,,
5/29/2026 14:43:31,4,6,2,3,6,4,4,7,3,4,5,2,7,7,2,,1,6,5,6,3,6,2,6,7,,1,3,,3,4,1,4,3,4,6,,4,6,4,1,6,3,3,,
5/29/2026 18:20:45,5,6,1,2,1,3,1,7,2,1,4,1,7,7,4,4,4,7,2,1,5,4,1,6,7,1,1,4,7,5,1,1,4,1,1,4,6,3,3,7,1,5,4,2,,
5/29/2026 20:25:08,3,3,5,2,4,5,4,5,5,1,2,2,5,6,4,6,1,6,7,6,5,5,3,4,5,5,2,6,7,2,4,3,5,2,4,7,3,2,3,7,1,5,4,2,,
5/29/2026 23:51:11,2,6,4,4,5,5,4,7,1,1,5,2,2,7,7,5,1,6,5,2,6,7,5,4,4,4,1,3,4,1,6,3,3,4,6,2,4,3,7,1,2,5,3,3,,
5/31/2026 16:21:33,1,1,5,2,7,4,2,4,2,1,4,2,4,7,5,5,2,4,3,3,5,7,6,2,2,1,1,1,2,5,1,1,1,1,3,6,3,6,5,4,1,6,5,4,,
