respondent_id,topic_id,Outlet group,Source,rating
1,kt0,KESMA,R2,4.0
2,kt0,KESMA,R2,1.0
3,kt0,KESMA,R2,2.0
4,kt0,KESMA,R2,5.0
5,kt0,KESMA,R2,1.0
6,kt0,KESMA,R2,4.0
7,kt0,KESMA,R2,5.0
8,kt0,KESMA,R2,3.0
9,kt0,KESMA,R2,2.0
10,kt0,KESMA,R2,1.0
1,kt1,KESMA,R2,2.0
2,kt1,KESMA,R2,7.0
3,kt1,KESMA,R2,2.0
4,kt1,KESMA,R2,1.0
5,kt1,KESMA,R2,6.0
6,kt1,KESMA,R2,6.0
7,kt1,KESMA,R2,6.0
8,kt1,KESMA,R2,3.0
9,kt1,KESMA,R2,6.0
10,kt1,KESMA,R2,1.0
1,kt2,KESMA,R2,1.0
2,kt2,KESMA,R2,1.0
3,kt2,KESMA,R2,2.0
4,kt2,KESMA,R2,3.0
5,kt2,KESMA,R2,2.0
6,kt2,KESMA,R2,2.0
7,kt2,KESMA,R2,1.0
8,kt2,KESMA,R2,5.0
9,kt2,KESMA,R2,4.0
10,kt2,KESMA,R2,5.0
1,kt3,KESMA,R2,5.0
2,kt3,KESMA,R2,1.0
3,kt3,KESMA,R2,5.0
4,kt3,KESMA,R2,3.0
5,kt3,KESMA,R2,2.0
6,kt3,KESMA,R2,3.0
7,kt3,KESMA,R2,2.0
8,kt3,KESMA,R2,2.0
9,kt3,KESMA,R2,4.0
10,kt3,KESMA,R2,2.0
1,kt4,KESMA,R2,2.0
2,kt4,KESMA,R2,4.0
3,kt4,KESMA,R2,4.0
4,kt4,KESMA,R2,3.0
5,kt4,KESMA,R2,3.0
6,kt4,KESMA,R2,6.0
7,kt4,KESMA,R2,1.0
8,kt4,KESMA,R2,4.0
9,kt4,KESMA,R2,5.0
10,kt4,KESMA,R2,7.0
1,it0,Independent,R2,1.0
2,it0,Independent,R2,7.0
3,it0,Independent,R2,3.0
4,it0,Independent,R2,4.0
5,it0,Independent,R2,5.0
6,it0,Independent,R2,4.0
7,it0,Independent,R2,3.0
8,it0,Independent,R2,5.0
9,it0,Independent,R2,5.0
10,it0,Independent,R2,4.0
1,it1,Independent,R2,1.0
2,it1,Independent,R2,4.0
3,it1,Independent,R2,3.0
4,it1,Independent,R2,5.0
5,it1,Independent,R2,3.0
6,it1,Independent,R2,4.0
7,it1,Independent,R2,1.0
8,it1,Independent,R2,4.0
9,it1,Independent,R2,4.0
10,it1,Independent,R2,2.0
1,it2,Independent,R2,2.0
2,it2,Independent,R2,7.0
3,it2,Independent,R2,6.0
4,it2,Independent,R2,3.0
5,it2,Independent,R2,6.0
6,it2,Independent,R2,7.0
7,it2,Independent,R2,7.0
8,it2,Independent,R2,5.0
9,it2,Independent,R2,7.0
10,it2,Independent,R2,4.0
1,it3,Independent,R2,3.0
2,it3,Independent,R2,1.0
3,it3,Independent,R2,2.0
4,it3,Independent,R2,6.0
5,it3,Independent,R2,7.0
6,it3,Independent,R2,3.0
7,it3,Independent,R2,2.0
8,it3,Independent,R2,5.0
9,it3,Independent,R2,1.0
10,it3,Independent,R2,2.0
1,it4,Independent,R2,3.0
2,it4,Independent,R2,1.0
3,it4,Independent,R2,2.0
4,it4,Independent,R2,5.0
5,it4,Independent,R2,2.0
6,it4,Independent,R2,4.0
7,it4,Independent,R2,1.0
8,it4,Independent,R2,1.0
9,it4,Independent,R2,1.0
10,it4,Independent,R2,1.0
1,it5,Independent,R2,4.0
2,it5,Independent,R2,4.0
3,it5,Independent,R2,4.0
4,it5,Independent,R2,5.0
5,it5,Independent,R2,4.0
6,it5,Independent,R2,5.0
7,it5,Independent,R2,4.0
8,it5,Independent,R2,2.0
9,it5,Independent,R2,5.0
10,it5,Independent,R2,4.0
1,it6,Independent,R2,5.0
2,it6,Independent,R2,1.0
3,it6,Independent,R2,1.0
4,it6,Independent,R2,2.0
5,it6,Independent,R2,3.0
6,it6,Independent,R2,2.0
7,it6,Independent,R2,1.0
8,it6,Independent,R2,2.0
9,it6,Independent,R2,2.0
10,it6,Independent,R2,2.0
1,it7,Independent,R2,3.0
2,it7,Independent,R2,7.0
3,it7,Independent,R2,2.0
4,it7,Independent,R2,6.0
5,it7,Independent,R2,6.0
6,it7,Independent,R2,7.0
7,it7,Independent,R2,7.0
8,it7,Independent,R2,5.0
9,it7,Independent,R2,2.0
10,it7,Independent,R2,4.0
1,it8,Independent,R2,1.0
2,it8,Independent,R2,7.0
3,it8,Independent,R2,6.0
4,it8,Independent,R2,6.0
5,it8,Independent,R2,2.0
6,it8,Independent,R2,7.0
7,it8,Independent,R2,7.0
8,it8,Independent,R2,6.0
9,it8,Independent,R2,7.0
10,it8,Independent,R2,7.0
1,it9,Independent,R2,3.0
2,it9,Independent,R2,1.0
3,it9,Independent,R2,2.0
4,it9,Independent,R2,2.0
5,it9,Independent,R2,4.0
6,it9,Independent,R2,2.0
7,it9,Independent,R2,4.0
8,it9,Independent,R2,4.0
9,it9,Independent,R2,7.0
10,it9,Independent,R2,5.0
